-------------------------------------
Translated Report (Full Report Below)
-------------------------------------

Process:               java [4515]
Path:                  /Users/USER/Library/Java/JavaVirtualMachines/azul-11.0.13/Contents/Home/bin/java
Identifier:            java
Version:               ???
Code Type:             X86-64 (Native)
Parent Process:        Exited process [4514]
Responsible:           squishide [1463]
User ID:               501

Date/Time:             2022-12-29 11:28:34.9711 +0200
OS Version:            macOS 13.0.1 (22A400)
Report Version:        12
Bridge OS Version:     7.0 (20P420)
Anonymous UUID:        FC39F471-AA10-B7BA-0CDC-2F2B1E387C07


Time Awake Since Boot: 10000 seconds

System Integrity Protection: disabled

Crashed Thread:        0  Dispatch queue: com.apple.main-thread

Exception Type:        EXC_BAD_ACCESS (SIGBUS)
Exception Codes:       KERN_PROTECTION_FAILURE at 0x00000001034c0008
Exception Codes:       0x0000000000000002, 0x00000001034c0008

Termination Reason:    Namespace SIGNAL, Code 10 Bus error: 10
Terminating Process:   exc handler [4515]

VM Region Info: 0x1034c0008 is in 0x1034c0000-0x1034c1000;  bytes after start: 8  bytes before end: 4087
      REGION TYPE                    START - END         [ VSIZE] PRT/MAX SHRMOD  REGION DETAIL
      shared memory               1034bf000-1034c0000    [    4K] r--/r-- SM=SHM
--->  VM_ALLOCATE                 1034c0000-1034c1000    [    4K] ---/rwx SM=NUL
      VM_ALLOCATE                 1034c1000-1034c2000    [    4K] r--/rwx SM=PRV

Thread 0 Crashed::  Dispatch queue: com.apple.main-thread
0   ???                           	       0x10e1d7aa0 ???
5   libjvm.dylib                  	       0x10491051e thread_native_entry(Thread*) + 310
6   libsystem_pthread.dylib       	    0x7ff81613e259 _pthread_start + 125
7   libsystem_pthread.dylib       	    0x7ff816139c7b thread_start + 15

Thread 24:: Java: GC Thread#4
0   libsystem_kernel.dylib        	    0x7ff8160ff61e semaphore_wait_trap + 10
1   libjvm.dylib                  	       0x10498693e OSXSemaphore::wait() + 16
2   libjvm.dylib                  	       0x104ad3876 SemaphoreGangTaskDispatcher::worker_wait_for_task() + 18
3   libjvm.dylib                  	       0x104ad3359 GangWorker::loop() + 39
4   libjvm.dylib                  	       0x104a60158 Thread::call_run() + 104
5   libjvm.dylib                  	       0x10491051e thread_native_entry(Thread*) + 310
6   libsystem_pthread.dylib       	    0x7ff81613e259 _pthread_start + 125
7   libsystem_pthread.dylib       	    0x7ff816139c7b thread_start + 15

Thread 25:: Java: GC Thread#5
0   libsystem_kernel.dylib        	    0x7ff8160ff61e semaphore_wait_trap + 10
1   libjvm.dylib                  	       0x10498693e OSXSemaphore::wait() + 16
2   libjvm.dylib                  	       0x104ad3876 SemaphoreGangTaskDispatcher::worker_wait_for_task() + 18
3   libjvm.dylib                  	       0x104ad3359 GangWorker::loop() + 39
4   libjvm.dylib                  	       0x104a60158 Thread::call_run() + 104
5   libjvm.dylib                  	       0x10491051e thread_native_entry(Thread*) + 310
6   libsystem_pthread.dylib       	    0x7ff81613e259 _pthread_start + 125
7   libsystem_pthread.dylib       	    0x7ff816139c7b thread_start + 15

Thread 26:: Java: GC Thread#6
0   libsystem_kernel.dylib        	    0x7ff8160ff61e semaphore_wait_trap + 10
1   libjvm.dylib                  	       0x10498693e OSXSemaphore::wait() + 16
2   libjvm.dylib                  	       0x104ad3876 SemaphoreGangTaskDispatcher::worker_wait_for_task() + 18
3   libjvm.dylib                  	       0x104ad3359 GangWorker::loop() + 39
4   libjvm.dylib                  	       0x104a60158 Thread::call_run() + 104
5   libjvm.dylib                  	       0x10491051e thread_native_entry(Thread*) + 310
6   libsystem_pthread.dylib       	    0x7ff81613e259 _pthread_start + 125
7   libsystem_pthread.dylib       	    0x7ff816139c7b thread_start + 15

Thread 27:: Java: GC Thread#7
0   libsystem_kernel.dylib        	    0x7ff8160ff61e semaphore_wait_trap + 10
1   libjvm.dylib                  	       0x10498693e OSXSemaphore::wait() + 16
2   libjvm.dylib                  	       0x104ad3876 SemaphoreGangTaskDispatcher::worker_wait_for_task() + 18
3   libjvm.dylib                  	       0x104ad3359 GangWorker::loop() + 39
4   libjvm.dylib                  	       0x104a60158 Thread::call_run() + 104
5   libjvm.dylib                  	       0x10491051e thread_native_entry(Thread*) + 310
6   libsystem_pthread.dylib       	    0x7ff81613e259 _pthread_start + 125
7   libsystem_pthread.dylib       	    0x7ff816139c7b thread_start + 15

Thread 28:: Java: GC Thread#8
0   libsystem_kernel.dylib        	    0x7ff8160ff61e semaphore_wait_trap + 10
1   libjvm.dylib                  	       0x10498693e OSXSemaphore::wait() + 16
2   libjvm.dylib                  	       0x104ad3876 SemaphoreGangTaskDispatcher::worker_wait_for_task() + 18
3   libjvm.dylib                  	       0x104ad3359 GangWorker::loop() + 39
4   libjvm.dylib                  	       0x104a60158 Thread::call_run() + 104
5   libjvm.dylib                  	       0x10491051e thread_native_entry(Thread*) + 310
6   libsystem_pthread.dylib       	    0x7ff81613e259 _pthread_start + 125
7   libsystem_pthread.dylib       	    0x7ff816139c7b thread_start + 15

Thread 29:: Java: GC Thread#9
0   libsystem_kernel.dylib        	    0x7ff8160ff61e semaphore_wait_trap + 10
1   libjvm.dylib                  	       0x10498693e OSXSemaphore::wait() + 16
2   libjvm.dylib                  	       0x104ad3876 SemaphoreGangTaskDispatcher::worker_wait_for_task() + 18
3   libjvm.dylib                  	       0x104ad3359 GangWorker::loop() + 39
4   libjvm.dylib                  	       0x104a60158 Thread::call_run() + 104
5   libjvm.dylib                  	       0x10491051e thread_native_entry(Thread*) + 310
6   libsystem_pthread.dylib       	    0x7ff81613e259 _pthread_start + 125
7   libsystem_pthread.dylib       	    0x7ff816139c7b thread_start + 15

Thread 30:
0   libsystem_kernel.dylib        	    0x7ff8161083b6 __select + 10
1   libtracelib.dylib             	       0x1380fcae8 froglogic::tracelib::processFds(froglogic::tracelib::EventContext*, int, fd_set*, fd_set*) + 446
2   libtracelib.dylib             	       0x1380fbe49 froglogic::tracelib::unixEventProc(void*) + 140
3   libsystem_pthread.dylib       	    0x7ff81613e259 _pthread_start + 125
4   libsystem_pthread.dylib       	    0x7ff816139c7b thread_start + 15

Thread 31:: com.apple.CFSocket.private
0   libsystem_kernel.dylib        	    0x7ff8161083b6 __select + 10
1   CoreFoundation                	    0x7ff8162404ea __CFSocketManager + 643
2   libsystem_pthread.dylib       	    0x7ff81613e259 _pthread_start + 125
3   libsystem_pthread.dylib       	    0x7ff816139c7b thread_start + 15

Thread 32:: QThread
0   libsystem_kernel.dylib        	    0x7ff8161021fe __psynch_cvwait + 10
1   libsystem_pthread.dylib       	    0x7ff81613e7e1 _pthread_cond_wait + 1243
2   libjvm.dylib                  	       0x104918cd2 os::PlatformEvent::park() + 126
3   libjvm.dylib                  	       0x1048e83de Monitor::ILock(Thread*) + 196
4   libjvm.dylib                  	       0x1048e8849 Monitor::lock_without_safepoint_check() + 33
5   libjvm.dylib                  	       0x104982682 SafepointSynchronize::block(JavaThread*) + 236
6   libjvm.dylib                  	       0x104984391 SafepointMechanism::block_if_requested_slow(JavaThread*) + 29
7   libjvm.dylib                  	       0x1049cb3a8 ThreadBlockInVM::ThreadBlockInVM(JavaThread*) + 80
8   libjvm.dylib                  	       0x1048e8aa2 Monitor::wait(bool, long, bool) + 190
9   libjvm.dylib                  	       0x104ab50df VMThread::execute(VM_Operation*) + 573
10  libjvm.dylib                  	       0x10441eca3 BiasedLocking::revoke_and_rebias(Handle, bool, Thread*) + 637
11  libjvm.dylib                  	       0x104a36a7d ObjectSynchronizer::fast_enter(Handle, BasicLock*, bool, Thread*) + 69
12  libjvm.dylib                  	       0x10498c827 SharedRuntime::monitor_enter_helper(oopDesc*, BasicLock*, JavaThread*, bool) + 187
13  libjvm.dylib                  	       0x10448a3bd Runtime1::monitorenter(JavaThread*, oopDesc*, BasicObjectLock*) + 29
14  ???                           	       0x10dba3d08 ???
15  ???                           	       0x10e2ea6be ???
16  ???                           	       0x10dabbfc0 ???
17  ???                           	       0x10dabbfc0 ???
18  ???                           	       0x10dabbfc0 ???
19  ???                           	       0x10dabbfc0 ???
20  ???                           	       0x10dab2cc9 ???
21  libjvm.dylib                  	       0x10469a49d JavaCalls::call_helper(JavaValue*, methodHandle const&, JavaCallArguments*, Thread*) + 519
22  libjvm.dylib                  	       0x1046e606a jni_invoke_static(JNIEnv_*, JavaValue*, _jobject*, JNICallType, _jmethodID*, JNI_ArgumentPusher*, Thread*) + 266
23  libjvm.dylib                  	       0x1046e9b0b jni_CallStaticVoidMethodV + 329
24  QtJambi                       	       0x133dedaaf Java::QtJambi::NativeUtility::createAssociation(JNIEnv_*, ...) + 175
25  QtJambi                       	       0x133ded24e currentJNIEnvironment(JavaVM_*, bool) + 942
26  QtJambi                       	       0x133dedda7 JniEnvironment::JniEnvironment(int) + 55
27  QtJambi                       	       0x133ed022e QtPrivate::QFunctorSlotObject<ThreadAPI::initializeThread(JNIEnv_*, _jobject*, _jobject*)::$_2, 0, QtPrivate::List<>, void>::impl(int, QtPrivate::QSlotObjectBase*, QObject*, void**, bool*) + 94
28  QtCore                        	       0x1347529d4 QtPrivate::QSlotObjectBase::call(QObject*, void**) + 21 (qobjectdefs_impl.h:363) [inlined]
29  QtCore                        	       0x1347529d4 void doActivate<false>(QObject*, int, void**) + 804 (qobject.cpp:3972)
30  QtCore                        	       0x134805658 QThread::started(QThread::QPrivateSignal) + 56 (moc_qthread.cpp:210)
31  QtCore                        	       0x13488e5d8 QThreadPrivate::start(void*)::$_0::operator()() const + 230 (qthread_unix.cpp:316) [inlined]
32  QtCore                        	       0x13488e5d8 void (anonymous namespace)::terminate_on_exception<QThreadPrivate::start(void*)::$_0>(QThreadPrivate::start(void*)::$_0&&) + 230 (qthread_unix.cpp:257) [inlined]
33  QtCore                        	       0x13488e5d8 QThreadPrivate::start(void*) + 296 (qthread_unix.cpp:280)
34  libsystem_pthread.dylib       	    0x7ff81613e259 _pthread_start + 125
35  libsystem_pthread.dylib       	    0x7ff816139c7b thread_start + 15

Thread 33:: QThread
0   libsystem_kernel.dylib        	    0x7ff8161021fe __psynch_cvwait + 10
1   libsystem_pthread.dylib       	    0x7ff81613e7e1 _pthread_cond_wait + 1243
2   libjvm.dylib                  	       0x104917976 os::PlatformEvent::park(long) + 202
3   libjvm.dylib                  	       0x1048fc3ae ObjectMonitor::EnterI(Thread*) + 446
4   libjvm.dylib                  	       0x1048fbc67 ObjectMonitor::enter(Thread*) + 499
5   libjvm.dylib                  	       0x104694631 InterpreterRuntime::monitorenter(JavaThread*, BasicObjectLock*) + 125
6   ???                           	       0x10dad02d7 ???
7   ???                           	       0x10dab2cc9 ???
8   libjvm.dylib                  	       0x10469a49d JavaCalls::call_helper(JavaValue*, methodHandle const&, JavaCallArguments*, Thread*) + 519
9   libjvm.dylib                  	       0x1046e606a jni_invoke_static(JNIEnv_*, JavaValue*, _jobject*, JNICallType, _jmethodID*, JNI_ArgumentPusher*, Thread*) + 266
10  libjvm.dylib                  	       0x1046e9b0b jni_CallStaticVoidMethodV + 329
11  QtJambi                       	       0x133dedaaf Java::QtJambi::NativeUtility::createAssociation(JNIEnv_*, ...) + 175
12  QtJambi                       	       0x133ded24e currentJNIEnvironment(JavaVM_*, bool) + 942
13  QtJambi                       	       0x133dedda7 JniEnvironment::JniEnvironment(int) + 55
14  QtJambi                       	       0x133ed022e QtPrivate::QFunctorSlotObject<ThreadAPI::initializeThread(JNIEnv_*, _jobject*, _jobject*)::$_2, 0, QtPrivate::List<>, void>::impl(int, QtPrivate::QSlotObjectBase*, QObject*, void**, bool*) + 94
15  QtCore                        	       0x1347529d4 QtPrivate::QSlotObjectBase::call(QObject*, void**) + 21 (qobjectdefs_impl.h:363) [inlined]
16  QtCore                        	       0x1347529d4 void doActivate<false>(QObject*, int, void**) + 804 (qobject.cpp:3972)
17  QtCore                        	       0x134805658 QThread::started(QThread::QPrivateSignal) + 56 (moc_qthread.cpp:210)
18  QtCore                        	       0x13488e5d8 QThreadPrivate::start(void*)::$_0::operator()() const + 230 (qthread_unix.cpp:316) [inlined]
19  QtCore                        	       0x13488e5d8 void (anonymous namespace)::terminate_on_exception<QThreadPrivate::start(void*)::$_0>(QThreadPrivate::start(void*)::$_0&&) + 230 (qthread_unix.cpp:257) [inlined]
20  QtCore                        	       0x13488e5d8 QThreadPrivate::start(void*) + 296 (qthread_unix.cpp:280)
21  libsystem_pthread.dylib       	    0x7ff81613e259 _pthread_start + 125
22  libsystem_pthread.dylib       	    0x7ff816139c7b thread_start + 15


Thread 0 crashed with X86 Thread State (64-bit):
  rax: 0x0000000800018f30  rbx: 0x0000000000001838  rcx: 0x000000000000011c  rdx: 0x000000061e75b5a0
  rdi: 0x0000000133b001b0  rsi: 0x000000061e75b030  rbp: 0x00007ff7bca87608  rsp: 0x00007ff7bca87448
   r8: 0x0000000000000000   r9: 0x00000000000000aa  r10: 0x00000001034c0008  r11: 0x0000000000000320
  r12: 0x0000000000000000  r13: 0x00007ff7bca875a8  r14: 0x000000080009bbe8  r15: 0x00007f77e6809000
  rip: 0x000000010e1d7aa0  rfl: 0x0000000000010202  cr2: 0x00000001034c0008

Logical CPU:     6
Error Code:      0x00000004 (no mapping for user data read)
Trap Number:     14

Thread 0 instruction stream:
  44 8b 56 08 49 bc 00 00-00 00 08 00 00 00 4d 03  D.V.I.........M.
  d4 4d 33 e4 4c 3b d0 0f-85 23 56 92 ff 66 66 90  .M3.L;...#V..ff.
  89 84 24 00 c0 fe ff 55-48 83 ec 30 48 bf b0 01  ..$....UH..0H...
  b0 33 01 00 00 00 8b 9f-04 01 00 00 83 c3 08 89  .3..............
  9f 04 01 00 00 81 e3 f8-1f 00 00 83 fb 00 0f 84  ................
  10 00 00 00 48 83 c4 30-5d 4d 8b 97 08 01 00 00  ....H..0]M......
 [41]85 02 c3 49 ba 50 0e-9f 03 01 00 00 00 4c 89  A...I.P.......L.	<==
  54 24 08 48 c7 04 24 ff-ff ff ff e8 c0 e2 9c ff  T$.H..$.........
  eb d2 90 90 49 8b 87 48-04 00 00 49 ba 00 00 00  ....I..H...I....
  00 00 00 00 00 4d 89 97-48 04 00 00 49 ba 00 00  .....M..H...I...
  00 00 00 00 00 00 4d 89-97 50 04 00 00 48 83 c4  ......M..P...H..
  30 5d e9 09 b2 93 ff f4-f4 f4 f4 f4 f4 f4 f4 f4  0]..............

Binary Images:
               0x0 - 0xffffffffffffffff ??? (*) <00000000-0000-0000-0000-000000000000> ???
       0x1042e0000 -        0x104b93fff libjvm.dylib (*) <6892fecd-c1fb-38bc-a4ad-0230e7b61e73> /Users/USER/Library/Java/JavaVirtualMachines/azul-11.0.13/Contents/Home/lib/server/libjvm.dylib
       0x133bb2000 -        0x134025fff com.yourcompany.QtJambi (6.4) <d97094a2-4ab0-33d8-a8f4-fd2719a65ac8> /private/var/folders/*/QtJambi.framework/Versions/6/QtJambi
       0x103515000 -        0x10351ffff libjli.dylib (*) <94f6cc68-9d09-3f0c-ba8e-c8e641239823> /Users/USER/Library/Java/JavaVirtualMachines/azul-11.0.13/Contents/Home/lib/jli/libjli.dylib
    0x7ff817010000 -     0x7ff817a21ff6 com.apple.Foundation (6.9) <eca88952-d3af-357e-80d8-4d31b2dc0c26> /System/Library/Frameworks/Foundation.framework/Versions/C/Foundation
    0x7ff81619a000 -     0x7ff816632fff com.apple.CoreFoundation (6.9) <dbc459f3-81bb-398a-8f74-3f7392392bb7> /System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation
       0x103474000 -        0x103477fff java (*) <f2aeea34-834c-3eea-b165-57e0d39109ea> /Users/USER/Library/Java/JavaVirtualMachines/azul-11.0.13/Contents/Home/bin/java
    0x7ff815e07000 -     0x7ff815e9b54f dyld (*) <28fd2071-57f3-3873-87bf-e4f674a82de6> /usr/lib/dyld
    0x7ff8160fe000 -     0x7ff816137ff7 libsystem_kernel.dylib (*) <0c2fd2c9-777c-3355-b70f-7b1b6e9d1b0b> /usr/lib/system/libsystem_kernel.dylib
    0x7ff816138000 -     0x7ff816143ff7 libsystem_pthread.dylib (*) <13b5e252-77d1-31e1-888d-1c5f4426ea87> /usr/lib/system/libsystem_pthread.dylib
       0x1380d4000 -        0x13810bfff libtracelib.dylib (*) <439ba912-a7e5-33c1-a1d2-c5cfd637bf65> /Applications/Squish for Qt 7.1.0/*/libtracelib.dylib
       0x134693000 -        0x134b9afff org.qt-project.QtCore (6.4) <39502ba2-2fb9-3e10-9c0d-d3ea8879a1f3> /Users/USER/*/QtCore.framework/Versions/A/QtCore

External Modification Summary:
  Calls made by other processes targeting this process:
    task_for_pid: 0
    thread_create: 0
    thread_set_state: 0
  Calls made by this process:
    task_for_pid: 0
    thread_create: 0
    thread_set_state: 0
  Calls made by all processes on this machine:
    task_for_pid: 0
    thread_create: 0
    thread_set_state: 0

VM Region Summary:
ReadOnly portion of Libraries: Total=1.1G resident=0K(0%) swapped_out_or_unallocated=1.1G(100%)
Writable regions: Total=2.7G written=0K(0%) resident=0K(0%) swapped_out=0K(0%) unallocated=2.7G(100%)

                                VIRTUAL   REGION
REGION TYPE                        SIZE    COUNT (non-coalesced)
===========                     =======  =======
Activity Tracing                   256K        1
ColorSync                          220K       24
Kernel Alloc Once                    8K        1
MALLOC                           350.3M       54
MALLOC guard page                   48K        9
MALLOC_MEDIUM (reserved)           1.4G       12         reserved VM address space (unallocated)
MALLOC_NANO (reserved)           384.0M        1         reserved VM address space (unallocated)
STACK GUARD                        292K       34
Stack                             37.6M       34
Stack Guard                       56.0M       13
VM_ALLOCATE                        9.2G       91
VM_ALLOCATE (reserved)           433.0M        5         reserved VM address space (unallocated)
__CTF                               756        1
__DATA                            50.0M      645
__DATA_CONST                      51.6M      369
__DATA_DIRTY                      1813K      221
__FONT_DATA                        2352        1
__GLSLBUILTINS                    5174K        1
__LINKEDIT                       262.6M       72
__OBJC_RO                         65.1M        1
__OBJC_RW                         1982K        2
__TEXT                           888.6M      658
dyld private memory               2816K        3
mapped file                      206.2M       18
shared memory                      776K       18
===========                     =======  =======
TOTAL                             13.3G     2289
TOTAL, minus reserved VM space    11.1G     2289



-----------
Full Report
-----------

{"app_name":"java","timestamp":"2022-12-29 11:28:35.00 +0200","app_version":"","slice_uuid":"f2aeea34-834c-3eea-b165-57e0d39109ea","build_version":"","platform":1,"share_with_app_devs":0,"is_first_party":1,"bug_type":"309","os_version":"macOS 13.0.1 (22A400)","roots_installed":0,"incident_id":"EA836933-2B2E-4347-8B10-22D1B77C71B7","name":"java"}
{
  "uptime" : 10000,
  "procRole" : "Foreground",
  "version" : 2,
  "userID" : 501,
  "deployVersion" : 210,
  "modelCode" : "MacBookPro15,1",
  "coalitionID" : 1543,
  "osVersion" : {
    "train" : "macOS 13.0.1",
    "build" : "22A400",
    "releaseType" : "User"
  },
  "captureTime" : "2022-12-29 11:28:34.9711 +0200",
  "incident" : "EA836933-2B2E-4347-8B10-22D1B77C71B7",
  "pid" : 4515,
  "cpuType" : "X86-64",
  "roots_installed" : 0,
  "bug_type" : "309",
  "procLaunch" : "2022-12-29 11:28:30.5645 +0200",
  "procStartAbsTime" : 10380137080344,
  "procExitAbsTime" : 10384543103069,
  "procName" : "java",
  "procPath" : "\/Users\/USER\/Library\/Java\/JavaVirtualMachines\/azul-11.0.13\/Contents\/Home\/bin\/java",
  "parentProc" : "Exited process",
  "parentPid" : 4514,
  "coalitionName" : "com.froglogic.squish.ide.product",
  "crashReporterKey" : "FC39F471-AA10-B7BA-0CDC-2F2B1E387C07",
  "responsiblePid" : 1463,
  "responsibleProc" : "squishide",
  "bridgeVersion" : {"build":"20P420","train":"7.0"},
  "sip" : "disabled",
  "vmRegionInfo" : "0x1034c0008 is in 0x1034c0000-0x1034c1000;  bytes after start: 8  bytes before end: 4087\n      REGION TYPE                    START - END         [ VSIZE] PRT\/MAX SHRMOD  REGION DETAIL\n      shared memory               1034bf000-1034c0000    [    4K] r--\/r-- SM=SHM  \n--->  VM_ALLOCATE                 1034c0000-1034c1000    [    4K] ---\/rwx SM=NUL  \n      VM_ALLOCATE                 1034c1000-1034c2000    [    4K] r--\/rwx SM=PRV  ",
  "exception" : {"codes":"0x0000000000000002, 0x00000001034c0008","rawCodes":[2,4350279688],"type":"EXC_BAD_ACCESS","signal":"SIGBUS","subtype":"KERN_PROTECTION_FAILURE at 0x00000001034c0008"},
  "termination" : {"flags":0,"code":10,"namespace":"SIGNAL","indicator":"Bus error: 10","byProc":"exc handler","byPid":4515},
  "vmregioninfo" : "0x1034c0008 is in 0x1034c0000-0x1034c1000;  bytes after start: 8  bytes before end: 4087\n      REGION TYPE                    START - END         [ VSIZE] PRT\/MAX SHRMOD  REGION DETAIL\n      shared memory               1034bf000-1034c0000    [    4K] r--\/r-- SM=SHM  \n--->  VM_ALLOCATE                 1034c0000-1034c1000    [    4K] ---\/rwx SM=NUL  \n      VM_ALLOCATE                 1034c1000-1034c2000    [    4K] r--\/rwx SM=PRV  ",
  "extMods" : {"caller":{"thread_create":0,"thread_set_state":0,"task_for_pid":0},"system":{"thread_create":0,"thread_set_state":0,"task_for_pid":0},"targeted":{"thread_create":0,"thread_set_state":0,"task_for_pid":0},"warnings":0},
  "faultingThread" : 0,
